meterName,meterNo,dateTime,importActiveEnergyT,currentA,currentB,currentC,voltageL12,voltageL23,voltageL31,voltageA,voltageB,voltageC,activePowerT,activePowerA,activePowerB,activePowerC,powerFactorA,powerFactorB,powerFactorC,powerFactorT
SSB-E2,2,2025-05-17 05:00:00,20014.718,1.540,1.097,0.551,424.035,429.167,429.904,246.837,245.717,248.792,0.824,0.163,0.153,0.508,-0.365,-0.528,0.961,nan
SSB-E2A,3,2025-05-17 05:00:00,15056.628,nan,0.182,nan,425.507,428.464,nan,247.033,nan,248.791,0.281,nan,0.000,nan,0.993,nan,-0.931,nan
SSB-3,5,2025-05-17 05:00:00,10370.352,2.078,0.116,1.915,424.277,426.836,430.021,246.491,245.510,248.905,0.645,0.315,0.027,0.303,-0.614,0.948,0.636,nan
SSB-2A-1,10,2025-05-17 05:00:00,427591.776,1.473,1.339,1.621,425.436,427.853,431.956,246.999,246.149,248.901,0.107,0.107,0.000,0.000,-0.295,0.000,0.000,nan
SSB-G,1,2025-05-17 05:00:00,8802.699,1.227,1.485,0.210,429.227,431.697,432.623,248.807,247.900,250.732,0.559,0.268,0.266,0.025,0.878,0.722,-0.479,nan
MSB-1,57,2025-05-17 05:00:00,14424542.600,1.777,1.758,1.618,415.120,416.860,417.720,241.420,240.920,242.620,1.169,0.405,0.402,0.363,0.942,0.948,0.924,0.939
SSB-2-1,9,2025-05-17 05:00:00,342727.584,0.000,0.000,0.000,425.232,427.528,431.690,246.931,245.991,248.675,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan
SSB-5,1,2025-05-17 05:00:00,13007.185,0.959,1.461,0.008,427.348,429.745,431.460,247.900,247.327,250.118,0.012,0.126,0.204,0.297,-0.529,0.805,0.715,nan
MSB-1,57,2025-05-17 05:30:00,14424715.400,2.488,2.604,2.450,410.440,412.100,412.780,238.800,237.940,239.900,1.723,0.564,0.592,0.554,0.950,0.955,0.932,0.945
SSB-G,1,2025-05-17 05:30:00,8803.019,1.248,1.608,0.199,425.790,428.429,429.403,247.143,246.100,248.989,0.543,0.253,0.265,0.025,0.820,0.726,-0.477,nan
SSB-5,1,2025-05-17 05:30:00,13007.482,0.031,0.026,1.399,428.271,429.918,433.387,247.730,247.154,250.412,0.643,0.141,0.005,0.001,-0.515,0.566,-0.850,nan
SSB-E2,2,2025-05-17 05:30:00,6787.325,1.345,0.741,2.116,424.171,427.245,429.846,246.984,246.018,248.765,0.777,0.119,0.114,0.504,-0.359,-0.543,0.689,nan
SSB-2,1,2025-05-17 05:30:00,2728.787,8.470,1.906,1.872,426.030,425.926,430.945,246.231,245.778,249.032,2.786,1.926,0.437,0.423,0.923,0.933,-0.907,nan
SSB-5,1,2025-05-17 06:00:00,129.193,0.031,1.457,0.007,427.587,429.621,430.931,247.786,247.231,250.394,0.527,0.026,0.206,0.001,0.909,0.570,0.737,nan
DB-6,4,2025-05-17 06:00:00,494.729,0.816,0.000,1.214,427.645,429.725,433.608,247.765,247.338,250.268,0.357,0.183,0.000,0.174,0.906,0.000,0.573,nan
DB-E6,3,2025-05-17 06:00:00,7514.667,2.414,1.186,1.208,428.126,430.056,433.899,248.312,247.690,250.015,0.470,0.297,0.106,0.068,-0.582,-0.359,-0.224,nan
SSB-E5,2,2025-05-17 06:00:00,1605.247,2.068,0.676,1.283,428.477,429.917,434.095,248.593,247.787,249.988,0.782,0.048,0.084,0.148,0.696,-0.571,-0.464,nan
SSB-2,1,2025-05-17 06:00:00,2729.778,8.487,1.914,1.710,427.963,426.792,432.879,247.355,246.877,249.850,2.758,1.945,0.439,0.374,0.926,0.928,-0.875,nan
SSB-E2,2,2025-05-17 06:00:00,20015.538,1.553,1.144,2.124,426.155,430.870,432.014,248.097,246.892,249.834,0.828,0.166,0.155,0.507,-0.431,-0.526,0.956,nan
MSB-1,57,2025-05-17 06:00:00,14424919.000,2.424,2.508,2.305,410.360,411.800,412.540,238.620,237.880,239.560,1.637,0.552,0.571,0.514,0.953,0.956,0.930,0.947
SSB-G,1,2025-05-17 06:00:00,8803.296,1.064,1.713,0.205,427.678,429.866,431.055,248.156,247.075,249.868,0.564,0.233,0.306,0.025,0.883,0.722,-0.491,nan
SSB-E2A,3,2025-05-17 06:00:00,15057.001,nan,13.678,0.000,427.462,430.068,nan,247.830,247.234,nan,0.349,nan,3.250,0.000,nan,0.000,nan,nan
SSB-3,5,2025-05-17 06:30:00,10371.312,2.063,0.134,1.932,426.100,428.725,432.048,247.527,246.350,249.711,0.652,0.320,0.027,0.305,-0.618,0.806,0.633,nan
SSB-2A-1,10,2025-05-17 06:30:00,427591.776,1.480,1.349,1.632,428.142,430.180,434.299,248.585,247.494,250.225,0.108,0.108,0.000,0.000,-0.293,0.000,0.000,nan
SSB-2-1,9,2025-05-17 06:30:00,342727.584,0.000,0.000,0.000,428.164,430.027,434.285,248.670,247.441,250.117,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan
MSB-1,57,2025-05-17 06:30:00,14425114.500,2.315,2.454,2.238,409.800,411.180,412.380,238.480,237.440,239.540,1.589,0.528,0.559,0.502,0.956,0.959,0.936,0.951
SSB-G,1,2025-05-17 06:30:00,8803.656,2.451,1.483,0.193,427.516,429.831,430.770,247.977,247.056,249.879,0.705,0.413,0.257,0.027,0.679,0.703,-0.512,nan
SSB-2A,4,2025-05-17 06:30:00,304102.336,31.017,0.741,0.869,426.192,428.580,431.544,247.800,245.940,249.790,0.540,0.425,16.231,8.617,-0.947,-0.258,-0.987,nan
SSB-E2,2,2025-05-17 06:30:00,20015.966,1.499,1.167,2.243,425.671,430.518,431.575,247.911,246.636,249.770,0.841,0.159,0.143,0.539,-0.410,-0.530,0.962,nan
SSB-2,1,2025-05-17 06:30:00,2730.769,8.501,1.914,1.706,427.283,427.154,433.043,247.213,246.747,250.004,2.762,1.949,0.439,0.374,0.927,0.930,-0.878,nan
SSB-E2A,3,2025-05-17 07:00:00,31264.420,1.179,nan,2.362,427.952,430.062,432.969,nan,247.632,250.113,0.285,0.676,3.271,0.557,-0.928,0.962,0.000,nan
SSB-E2,2,2025-05-17 07:00:00,20016.394,1.210,1.193,2.246,427.181,429.879,432.630,248.689,247.512,250.400,0.890,0.195,0.168,0.540,-0.460,-0.564,0.961,nan
DB-E6,3,2025-05-17 07:00:00,7515.240,0.830,1.169,1.211,429.853,431.441,435.360,249.226,248.550,250.861,0.283,0.113,0.103,0.067,-0.547,-0.355,-0.219,nan
SSB-5,1,2025-05-17 07:00:00,13008.396,1.109,1.453,0.007,429.095,431.858,433.136,248.906,248.272,251.010,0.013,0.137,0.213,0.001,0.908,0.578,0.721,nan
SSB-2,1,2025-05-17 07:00:00,2731.742,0.769,1.947,1.799,428.847,427.602,434.081,248.371,247.029,250.553,1.018,0.165,0.449,0.404,-0.863,0.934,-0.897,nan
SSB-E5,2,2025-05-17 07:00:00,1605.997,2.296,0.673,1.424,428.722,431.315,434.023,249.476,248.699,250.790,0.602,0.351,0.081,0.043,0.694,0.592,-0.244,nan
MSB-1,57,2025-05-17 07:00:00,14425313.700,2.611,2.816,2.470,406.660,407.560,409.100,236.580,235.460,237.620,1.775,0.591,0.637,0.547,0.957,0.961,0.931,0.950
DB-6,4,2025-05-17 07:00:00,495.087,0.817,0.000,1.215,429.319,431.159,435.069,248.725,248.151,251.131,0.357,0.184,0.000,0.173,0.906,0.000,0.567,nan
SSB-G,1,2025-05-17 07:00:00,8803.980,2.714,1.706,0.199,429.098,431.090,432.234,248.848,247.608,250.525,0.773,0.483,0.262,0.028,0.715,0.721,-0.556,nan
SSB-EG,2,2025-05-17 07:00:00,34494.632,13.390,0.446,1.836,nan,430.052,nan,248.705,nan,250.527,nan,3.267,nan,0.452,nan,0.863,0.983,nan
SSB-5,1,2025-05-17 07:30:00,129.218,0.075,3.272,1.386,429.174,431.072,433.208,248.743,248.413,250.969,0.023,0.147,0.531,0.296,0.978,0.800,-0.850,nan
SSB-E2,2,2025-05-17 07:30:00,20016.836,2.260,1.139,2.254,428.456,431.634,434.185,249.354,248.379,251.035,1.154,0.448,0.162,0.543,-0.795,0.620,0.960,nan
SSB-2,1,2025-05-17 07:30:00,2732.660,0.774,1.964,1.784,430.166,429.335,435.558,249.001,247.927,250.987,1.022,0.167,0.454,0.401,-0.865,0.933,-0.896,nan
DB-E6,3,2025-05-17 07:30:00,7515.533,2.406,1.227,1.212,430.096,431.648,435.300,249.171,248.684,251.008,0.499,0.326,0.111,0.066,-0.553,-0.342,-0.218,nan
SSB-E5,2,2025-05-17 07:30:00,7166.954,1.756,12.688,1.702,429.041,431.405,433.921,249.421,248.705,251.146,3.654,0.363,0.090,0.191,-0.610,-0.999,-0.548,nan
SSB-G,1,2025-05-17 07:30:00,8804.360,2.474,1.558,0.199,430.663,432.551,433.601,249.435,248.406,251.043,0.720,0.413,0.281,0.026,0.669,0.725,-0.524,nan
SSB-EG,2,2025-05-17 07:30:00,34497.548,nan,6.914,nan,nan,431.344,433.245,249.016,nan,251.221,nan,3.278,nan,0.475,nan,nan,0.984,nan
MSB-1,57,2025-05-17 07:30:00,14425528.600,2.561,2.761,2.458,405.880,407.120,408.180,236.060,235.200,237.180,1.739,0.574,0.624,0.541,0.952,0.959,0.927,0.947
DB-6,4,2025-05-17 07:30:00,495.265,0.817,0.000,1.213,429.495,431.332,434.935,248.636,248.342,251.154,0.356,0.184,0.000,0.172,0.905,0.000,0.564,nan
SSB-2,1,2025-05-17 08:00:00,2733.659,0.777,1.926,1.676,424.917,424.280,428.761,245.856,244.787,247.835,0.968,0.164,0.445,0.359,-0.861,0.944,-0.864,nan
SSB-E2,2,2025-05-17 08:00:00,20017.280,1.210,1.112,2.225,423.157,427.905,428.179,246.324,245.282,247.907,0.418,0.159,0.154,0.533,-0.431,nan,0.689,nan
SSB-5,1,2025-05-17 08:00:00,13009.204,0.038,0.023,1.383,425.978,426.582,430.371,246.196,245.511,248.477,0.846,0.008,0.004,0.292,-0.743,0.752,0.748,nan
MSB-1,57,2025-05-17 08:00:00,14425745.300,2.624,2.936,2.577,411.200,412.200,413.620,239.280,238.060,240.260,1.842,0.598,0.670,0.575,0.952,0.958,0.927,0.946
SSB-G,1,2025-05-17 08:00:00,8804.678,2.425,1.457,0.200,425.461,427.125,427.443,246.308,245.313,247.930,0.694,0.410,0.259,0.026,0.686,0.723,-0.520,nan
MSB-1,57,2025-05-17 08:30:00,14425951.700,2.530,2.743,2.449,415.520,416.720,417.960,241.760,240.680,242.800,1.764,0.582,0.631,0.550,0.951,0.956,0.924,0.944
SSB-G,1,2025-05-17 08:30:00,8804.960,2.414,1.536,0.199,421.940,423.708,424.513,244.755,243.682,246.272,0.709,0.413,0.270,0.027,0.698,0.720,-0.556,nan
SSB-E2A,3,2025-05-17 08:30:00,31271.590,1.403,0.000,nan,421.879,424.245,426.205,244.417,243.845,246.346,nan,1.094,0.000,0.000,nan,0.970,0.000,nan
SSB-E2,2,2025-05-17 08:30:00,20017.714,1.536,1.115,0.551,420.736,424.670,425.320,244.580,243.629,246.135,0.844,0.163,0.111,0.527,-0.433,-0.539,0.969,nan
SSB-2,1,2025-05-17 08:30:00,2734.591,0.777,1.910,1.801,422.066,420.786,426.182,244.295,243.230,246.206,1.000,0.163,0.441,0.397,-0.857,0.948,-0.895,nan
SSB-E2,2,2025-05-17 09:00:00,20018.160,0.631,1.157,2.201,418.752,420.923,423.983,243.548,242.373,244.982,0.327,0.113,0.135,0.524,-0.373,-0.563,0.972,nan
SSB-2,1,2025-05-17 09:00:00,2735.556,0.774,1.894,1.784,420.116,418.966,424.534,243.136,241.862,245.053,0.988,0.161,0.436,0.390,-0.856,0.953,-0.893,nan
SSB-5,1,2025-05-17 09:00:00,129.246,0.116,3.361,1.524,417.669,419.869,421.182,242.136,241.759,244.391,1.039,0.210,0.519,0.002,0.995,0.639,-0.827,nan
SSB-G,1,2025-05-17 09:00:00,8805.278,2.379,1.432,0.199,420.572,421.914,422.693,243.539,242.442,245.020,0.685,0.405,0.252,0.028,0.700,0.724,-0.541,nan
MSB-1,57,2025-05-17 09:00:00,14426168.200,2.847,3.124,2.795,415.120,415.960,417.500,241.620,240.240,242.480,1.998,0.653,0.718,0.627,0.949,0.956,0.925,0.944
MSB-1,57,2025-05-17 09:30:00,14426382.900,2.193,2.291,2.089,413.780,415.200,416.400,240.720,239.840,241.700,1.494,0.501,0.525,0.468,0.949,0.955,0.926,0.944
DB-M,3,2025-05-17 09:30:00,18181.582,nan,0.995,nan,420.329,nan,424.341,nan,nan,245.697,nan,nan,nan,nan,nan,nan,nan,nan
SSB-EG,2,2025-05-17 09:30:00,34509.704,nan,nan,nan,420.391,421.937,423.393,243.685,nan,nan,nan,nan,nan,nan,nan,0.997,nan,nan
SSB-G,1,2025-05-17 09:30:00,8805.637,2.566,1.448,0.193,421.891,422.690,423.656,244.155,243.063,245.491,0.727,0.446,0.256,0.025,0.712,0.727,-0.522,nan
SSB-E2,2,2025-05-17 09:30:00,6788.953,2.517,1.162,2.087,419.313,423.178,423.847,243.706,242.986,245.400,1.225,0.579,0.142,0.495,-0.710,-0.543,0.966,nan
SSB-2,1,2025-05-17 09:30:00,2736.482,0.779,1.897,1.681,420.496,419.701,424.834,243.665,242.508,245.437,0.956,0.163,0.437,0.356,-0.858,0.950,-0.864,nan
SSB-E2,2,2025-05-17 10:00:00,20019.064,1.589,1.058,2.088,420.089,422.552,425.785,244.479,243.445,245.934,0.872,0.257,0.111,0.495,-0.683,-0.540,0.965,nan
SSB-2,1,2025-05-17 10:00:00,2737.453,0.777,1.904,1.716,421.764,420.090,425.486,243.998,242.963,245.884,0.968,0.163,0.439,0.366,-0.858,0.949,-0.868,nan
SSB-E2A,3,2025-05-17 10:00:00,31278.566,1.161,0.194,nan,420.751,422.645,425.296,244.183,243.072,245.942,0.275,1.099,3.217,0.554,-0.971,0.972,-0.931,nan
SSB-5,1,2025-05-17 10:00:00,129.276,0.038,3.324,0.009,426.234,428.542,429.378,247.101,246.659,249.113,0.017,0.043,0.523,0.312,0.904,0.962,-0.835,nan
DB-M,3,2025-05-17 10:00:00,18181.986,nan,1.000,nan,420.918,nan,424.661,nan,242.959,nan,0.796,nan,0.192,nan,-0.841,nan,nan,nan
MSB-1,57,2025-05-17 10:00:00,14426572.900,2.497,2.745,2.452,413.780,414.980,416.600,240.720,239.640,241.880,1.760,0.574,0.632,0.554,0.953,0.960,0.933,0.949
SSB-G,1,2025-05-17 10:00:00,8805.970,2.384,1.773,0.199,421.641,423.635,424.623,244.576,243.439,245.962,0.735,0.402,0.307,0.025,0.690,0.713,-0.548,nan
SSB-2,1,2025-05-17 10:30:00,2738.407,0.813,1.884,1.840,422.140,420.587,426.167,244.098,243.338,246.224,1.015,0.173,0.433,0.409,-0.872,0.943,-0.903,nan
SSB-2A,4,2025-05-17 10:30:00,304232.352,31.393,0.731,0.790,420.630,422.395,426.575,244.696,242.742,246.175,0.512,0.333,16.184,8.807,-0.823,-0.267,-0.994,nan
SSB-E2,2,2025-05-17 10:30:00,20019.528,1.377,1.175,2.087,421.070,422.957,425.434,244.803,243.713,246.138,0.412,0.238,0.170,0.495,-0.692,-0.571,0.687,nan
SSB-E2A,3,2025-05-17 10:30:00,31280.884,3.184,13.601,0.000,nan,423.168,425.739,244.811,243.290,245.945,4.498,0.729,0.000,0.543,-0.936,0.971,-0.934,nan
SSB-3,5,2025-05-17 10:30:00,10373.832,2.040,0.125,1.914,421.548,423.324,425.760,244.550,243.397,246.358,0.657,0.324,0.027,0.306,-0.628,0.875,0.649,nan
MSB-1,57,2025-05-17 10:30:00,14426768.600,2.460,2.613,2.405,412.320,413.760,414.600,239.800,238.960,240.960,1.713,0.565,0.602,0.546,0.957,0.964,0.942,0.955
DB-M,3,2025-05-17 10:30:00,18182.382,nan,1.004,nan,421.715,423.051,nan,244.470,nan,246.318,nan,nan,0.191,nan,nan,nan,nan,nan
SSB-2-1,9,2025-05-17 10:30:00,342727.584,0.000,0.000,0.000,421.611,423.337,427.267,244.673,243.769,246.089,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan
SSB-2A-1,10,2025-05-17 10:30:00,427591.776,1.460,1.327,1.603,421.733,423.496,427.525,244.742,243.826,246.267,0.103,0.103,0.000,0.000,-0.289,0.000,0.000,nan
SSB-G,1,2025-05-17 10:30:00,8806.301,1.018,1.455,0.205,422.478,424.274,424.927,244.771,243.691,246.182,0.518,0.221,0.272,0.025,0.885,0.727,-0.504,nan
SSB-2,1,2025-05-17 11:00:00,2739.331,8.364,1.872,1.721,421.467,420.947,426.123,244.005,243.485,246.194,2.709,1.909,0.429,0.371,0.935,0.940,-0.875,nan
SSB-E2,2,2025-05-17 11:00:00,20019.984,1.213,1.161,2.089,421.297,424.580,425.894,244.758,243.794,246.156,0.843,0.210,0.137,0.496,-0.709,-0.501,0.686,nan
SSB-2A,4,2025-05-17 11:00:00,304248.352,31.367,0.730,0.796,421.019,423.354,426.736,244.893,243.304,246.423,0.510,0.333,16.560,8.496,-0.822,-0.267,-0.986,nan
SSB-3,5,2025-05-17 11:00:00,10374.145,2.068,0.134,1.499,421.226,423.195,426.170,244.254,243.699,246.449,0.588,0.327,0.024,0.236,-0.634,0.799,0.640,nan
SSB-E2A,3,2025-05-17 11:00:00,31283.270,4.589,0.000,0.000,422.376,423.650,426.220,244.905,243.661,246.102,4.838,0.341,0.000,0.542,-0.962,0.000,0.000,nan
MSB-1,57,2025-05-17 11:00:00,14426980.000,2.579,2.836,2.583,408.760,409.900,411.120,237.860,236.580,238.920,1.814,0.587,0.647,0.580,0.957,0.964,0.938,0.953
SSB-2-1,9,2025-05-17 11:00:00,342727.584,0.000,0.000,0.000,421.664,423.069,427.163,244.692,243.718,245.935,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan
SSB-2A-1,10,2025-05-17 11:00:00,427591.776,1.461,1.326,1.604,421.647,423.359,427.318,244.641,243.790,246.156,0.104,0.104,0.000,0.000,-0.292,0.000,0.000,nan
SSB-G,1,2025-05-17 11:00:00,8806.579,1.219,1.448,0.199,422.572,423.999,425.073,244.809,243.826,246.177,0.529,0.247,0.258,0.025,0.827,0.730,-0.504,nan
SSB-G,1,2025-05-17 11:30:00,8806.882,2.439,1.756,0.193,421.744,423.355,424.077,244.124,243.344,245.702,0.735,0.425,0.310,0.000,0.714,0.726,0.000,nan
SSB-5,1,2025-05-17 11:30:00,13012.747,0.038,0.023,1.496,427.176,428.950,431.320,246.600,246.469,249.149,0.014,0.115,0.004,0.001,-0.568,0.695,-0.837,nan
SSB-E2,2,2025-05-17 11:30:00,6789.760,1.657,1.180,2.086,419.756,422.089,424.606,244.126,243.349,245.763,0.911,0.278,0.113,0.494,-0.685,-0.498,0.964,nan
SSB-2,1,2025-05-17 11:30:00,2740.233,8.469,1.869,1.839,421.696,420.316,425.976,243.435,242.954,245.705,2.764,1.929,0.427,0.408,0.936,0.941,-0.902,nan
MSB-1,57,2025-05-17 11:30:00,14427192.400,2.432,2.670,2.510,414.220,415.500,416.620,241.120,239.840,242.020,1.747,0.561,0.617,0.569,0.957,0.962,0.936,0.952
SSB-E2,2,2025-05-17 12:00:00,20020.894,1.395,1.128,2.084,418.871,422.737,422.979,243.443,242.677,245.055,0.874,0.210,0.143,0.493,-0.701,-0.497,0.966,nan
SSB-2,1,2025-05-17 12:00:00,2741.177,8.322,1.863,1.845,420.065,418.825,424.204,242.633,242.331,245.073,2.730,1.897,0.425,0.408,0.939,0.942,-0.902,nan
SSB-E2A,3,2025-05-17 12:00:00,31287.954,2.296,13.558,2.389,420.083,422.276,424.091,243.373,242.507,245.252,0.554,0.546,3.197,0.542,-0.992,0.000,-0.933,nan
SSB-5,1,2025-05-17 12:00:00,129.315,0.078,3.490,1.494,429.408,430.704,434.127,248.318,248.028,250.710,0.024,0.210,0.004,0.002,-0.526,0.690,-0.839,nan
SSB-E5,2,2025-05-17 12:00:00,7170.056,1.416,0.744,0.988,427.992,430.998,434.806,248.271,248.147,250.829,0.485,0.335,0.158,0.164,0.674,-0.515,-0.559,nan
SSB-G,1,2025-05-17 12:00:00,8807.240,2.563,1.449,0.183,420.536,421.958,422.559,243.472,242.701,245.038,0.698,0.446,0.252,0.000,0.714,0.717,0.000,nan
DB-6,4,2025-05-17 12:00:00,496.860,0.816,0.000,1.246,428.341,430.898,434.315,248.057,247.903,250.900,0.358,0.183,0.000,0.174,0.906,0.000,0.558,nan
SSB-EG,2,2025-05-17 12:00:00,34524.792,nan,11.542,nan,nan,nan,425.311,243.093,nan,245.438,5.279,nan,1.680,nan,-0.982,nan,nan,nan
MSB-1,57,2025-05-17 12:00:00,14427395.400,2.221,2.421,2.228,414.560,415.800,416.840,241.180,240.140,242.200,1.560,0.506,0.554,0.500,0.944,0.953,0.926,0.941
DB-E6,3,2025-05-17 12:00:00,7518.200,2.564,1.221,1.229,428.933,431.063,434.570,248.607,248.219,250.611,0.481,0.307,0.107,0.066,-0.562,-0.354,-0.216,nan
SSB-2,1,2025-05-17 12:30:00,2742.077,0.783,1.897,1.871,419.998,418.606,423.486,242.820,241.859,244.857,0.999,0.151,0.437,0.411,-0.795,0.953,-0.897,nan
SSB-E2,2,2025-05-17 12:30:00,20021.360,1.412,1.174,2.080,418.597,420.826,422.841,243.181,242.283,244.794,0.885,0.239,0.438,0.492,-0.695,-0.538,0.967,nan
SSB-E2A,3,2025-05-17 12:30:00,31290.248,4.678,0.168,0.681,419.037,420.884,421.772,243.320,242.480,244.593,4.848,1.097,0.000,0.158,-0.963,0.974,-0.934,nan
SSB-2A,4,2025-05-17 12:30:00,4508.993,3.058,67.076,35.473,418.730,420.968,421.846,242.359,242.179,244.763,32.443,7.545,0.548,0.773,-0.986,-0.997,-0.939,nan
SSB-3,5,2025-05-17 12:30:00,10375.130,2.355,1.046,2.814,418.097,420.346,423.115,242.436,241.897,244.859,1.159,0.402,0.214,0.543,-0.704,-0.845,0.788,nan
SSB-G,1,2025-05-17 12:30:00,8807.561,2.365,1.459,0.199,419.666,421.799,422.369,243.246,242.316,244.865,0.682,0.401,0.256,0.025,0.697,0.723,-0.517,nan
SSB-EG,2,2025-05-17 12:30:00,34527.428,nan,8.830,nan,419.066,nan,424.837,nan,241.960,nan,5.598,nan,nan,0.459,nan,0.972,0.987,nan
MSB-1,57,2025-05-17 12:30:00,14427585.700,2.281,2.489,2.287,412.300,413.260,414.460,239.860,238.700,240.780,1.621,0.525,0.575,0.521,0.960,0.967,0.945,0.958
SSB-2-1,9,2025-05-17 12:30:00,342727.584,0.000,0.000,0.000,417.693,419.399,422.981,242.361,241.405,243.780,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan
SSB-2A-1,10,2025-05-17 12:30:00,427594.624,24.401,23.576,23.895,416.875,418.730,422.163,241.788,240.971,243.430,15.724,5.335,5.127,5.262,-0.904,-0.903,-0.905,nan
DB-M,3,2025-05-17 12:30:00,17974.812,nan,0.168,nan,418.968,nan,423.026,243.037,nan,244.702,nan,nan,nan,0.904,nan,0.702,nan,nan
SSB-2,1,2025-05-17 13:00:00,2743.028,0.787,1.890,1.804,418.214,417.043,422.901,242.100,241.088,244.128,0.984,0.160,0.434,0.390,-0.841,0.954,-0.885,nan
SSB-2A,4,2025-05-17 13:00:00,304313.792,31.622,3.735,5.034,417.187,419.229,421.082,242.530,240.749,244.105,2.717,0.789,16.181,8.865,-0.970,-0.809,-0.987,nan
SSB-E2,2,2025-05-17 13:00:00,6790.720,1.645,1.117,2.072,418.330,421.707,421.451,242.626,241.701,244.142,0.882,0.254,0.437,0.490,-0.705,-0.532,-0.941,nan
SSB-E2A,3,2025-05-17 13:00:00,31292.584,3.043,0.194,0.677,nan,420.163,420.995,242.652,241.881,nan,4.447,0.692,0.000,0.157,nan,0.976,-0.933,nan
SSB-3,5,2025-05-17 13:00:00,10375.787,2.531,1.765,2.375,417.526,419.060,421.432,241.697,241.214,244.035,1.341,0.465,0.399,0.478,-0.759,-0.937,0.824,nan
SSB-2-1,9,2025-05-17 13:00:00,342727.584,0.000,0.000,0.000,422.345,423.843,427.368,244.960,244.075,246.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,nan
SSB-EG,2,2025-05-17 13:00:00,34530.652,nan,17.833,0.545,418.047,nan,423.504,nan,241.326,nan,7.831,nan,4.157,nan,-0.982,nan,0.989,nan
MSB-1,57,2025-05-17 13:00:00,14427776.900,2.264,2.572,2.313,410.660,411.660,413.000,238.920,237.520,239.960,1.634,0.519,0.590,0.525,0.959,0.965,0.945,0.957
SSB-2A-1,10,2025-05-17 13:00:00,427600.416,15.080,14.557,14.936,422.069,423.687,427.180,244.734,243.935,246.273,8.959,3.070,2.897,2.991,-0.825,-0.817,-0.819,nan
SSB-G,1,2025-05-17 13:00:00,8807.971,2.418,2.140,0.198,418.510,420.794,420.869,242.600,241.648,244.192,0.890,0.414,0.451,0.026,0.706,0.872,-0.535,nan
MSB-1,57,2025-05-17 13:30:00,14427957.400,2.046,2.241,2.027,412.200,413.260,414.840,239.920,238.640,240.980,1.430,0.466,0.514,0.454,0.960,0.967,0.949,0.959
SSB-EG,2,2025-05-17 13:30:00,34533.796,nan,13.796,nan,419.625,422.055,424.714,nan,242.225,245.017,6.853,nan,2.935,nan,nan,0.879,nan,nan
SSB-G,1,2025-05-17 13:30:00,8808.460,1.641,2.600,0.869,420.465,421.884,421.960,243.273,242.700,244.771,1.012,0.332,0.525,0.155,0.832,0.833,0.727,nan
DB-6,4,2025-05-17 13:30:00,497.392,0.814,0.000,1.263,420.128,422.718,426.142,243.495,243.031,246.146,0.353,0.181,0.000,0.172,0.915,0.000,0.553,nan
DB-E6,3,2025-05-17 13:30:00,7519.147,0.779,1.143,1.212,420.795,423.036,426.452,244.025,243.374,246.018,0.248,0.092,0.093,0.063,-0.482,-0.338,-0.212,nan
SSB-E5,2,2025-05-17 13:30:00,7170.916,1.770,0.587,0.722,420.902,422.961,425.186,243.624,243.280,246.196,0.172,0.050,0.079,0.043,-0.177,0.585,-0.692,nan
SSB-5,1,2025-05-17 13:30:00,129.343,0.074,1.430,0.008,420.190,423.309,423.951,243.529,243.027,246.257,0.025,0.019,0.201,0.002,0.976,0.575,-0.842,nan
SSB-2,1,2025-05-17 13:30:00,2743.974,0.874,1.904,1.845,419.997,419.061,424.216,243.133,242.027,244.818,0.981,0.172,0.437,0.372,-0.808,0.948,-0.824,nan
SSB-2,1,2025-05-17 14:00:00,2745.128,2.142,3.895,3.368,417.087,414.465,419.815,241.055,239.898,242.550,2.095,0.482,0.916,0.696,-0.934,0.980,-0.852,nan
SSB-E2,2,2025-05-17 14:00:00,6791.908,11.570,10.183,9.469,414.412,417.312,418.754,240.814,240.460,242.658,6.969,0.230,2.362,2.018,-0.731,0.957,0.863,nan
SSB-E2A,3,2025-05-17 14:00:00,31300.532,15.832,20.007,1.796,415.412,nan,417.311,240.626,240.613,242.368,11.272,3.749,4.655,0.367,0.917,0.971,0.908,nan
SSB-G,1,2025-05-17 14:00:00,8809.227,5.794,3.156,1.736,416.556,417.720,417.890,241.221,240.570,242.440,2.416,1.389,0.659,0.368,0.994,0.868,0.874,nan
MSB-1,57,2025-05-17 14:00:00,14428127.000,1.889,2.083,1.907,407.660,408.840,410.480,237.340,236.000,238.400,1.340,0.431,0.477,0.432,0.961,0.970,0.951,0.961
SSB-5,1,2025-05-17 14:00:00,13015.244,1.439,0.022,1.416,420.022,421.599,424.499,242.984,242.553,245.236,0.675,0.181,0.004,0.293,0.912,0.571,nan,nan
SSB-2,1,2025-05-17 14:30:00,2746.882,10.745,4.993,3.749,414.327,412.954,417.199,239.168,238.933,241.634,4.420,2.489,1.179,0.752,0.969,0.988,-0.830,nan
